T_01,T_07,T_09,T_10,T_11,T_32,T_35,T_37,T_39,T_43,T_46,T_47,T_50,T_53,T_55,T_65,T_66,T_67,T_68,T_69,T_71,T_78,T_80,T_81,T_82,T_83,T_88,T_99,T_106,T_110,T_SC
3.96,0.4 ,1.04,0.23,0.23,10,0,0,17,0,2,0,0,0,0,0,0,0,0.64,0.51,0,0,0,0,0,3831.50 ,141.00 ,0.00 ,0,0,58.74
4.62,0.6 ,0.52,0.92,0.23,17,0,0,23,0,1,0,0,0,0,0,0,0,0.64,0.51,0,0,0,0,0,1625.50 ,28.33 ,0.00 ,0,0,59.04
3.96,0.4 ,0.78,0.23,0.46,6,0,0,17,0,1,0,0,1,0,0,0,0,0.64,0.51,0,0,0,0,1,2810.00 ,135.67 ,0.00 ,0,0,57.54
3.96,1.8 ,1.04,0.92,0.23,20,0,0,16,5,3,0,0,0,0,0,0,0,0.64,0.51,0,8,0,1,0,6748.50 ,275.00 ,0.00 ,1,0,62.56
3.96,0.6 ,0.52,0.92,0.23,3,0,0,18,0,1,0,0,0,0,0,0,0,0.64,0.51,0,0,0,0,0,2332.50 ,77.33 ,0.00 ,0,0,54.23
4.62,0.8 ,1.3,1.15,0.69,28,0,0,20,0,3,1,0,2,0,0,0,0,0.64,0.51,0,0,0,0,2,17957.50 ,552.33 ,0.00 ,0,0,60.34
5.28,1.2 ,1.56,1.38,0.69,65,0,0,25,6,4,0,0,2,0,741,875,791,0.64,0.51,0.84,0,0,1,3,88424.00 ,2161.00 ,802.33 ,0,1,72.23
4.62,0.4 ,0.52,1.38,0.69,9,0,0,22,0,1,0,0,2,0,0,0,0,0.64,0.51,0,0,0,0,5,3443.50 ,224.33 ,0.00 ,0,0,62.52
5.28,0.6 ,0.78,0.23,0.92,7,0,0,28,0,2,0,0,6,0,0,0,0,0.64,0.51,0,0,0,0,7,1441.00 ,-823.00 ,0.00 ,0,0,61.06
5.28,1.4 ,1.82,1.15,0.23,16,1,0,27,3,3,1,0,0,0,421,489,0,0.64,0.51,19.59,6,1,1,0,2368.00 ,191.00 ,303.33 ,1,1,63.82
3.96,0.2 ,0.26,0.92,0.69,8,0,0,15,0,0,0,0,1,0,0,0,26,0.58,0.57,0,0,0,0,3,274.50 ,-52.33 ,8.67 ,0,1,49.55
3.3,0.4 ,0.52,1.38,0.23,4,0,0,14,0,1,0,0,0,0,0,0,0,0.58,0.57,0,0,0,0,0,3290.50 ,165.00 ,0.00 ,0,0,52.05
3.96,1.0 ,0.78,1.61,1.38,9,1,0,16,1,2,1,2,3,0,0,68,0,0,0.57,0,0,1,1,5,6209.00 ,330.67 ,22.67 ,0,1,62.64
4.62,1.2 ,2.6,1.15,0.69,17,1,0,24,0,12,1,0,3,0,131,0,0,0,0.57,0.77,3,1,1,4,11359.00 ,561.33 ,43.67 ,1,1,66.13
1.98,1.2 ,1.3,1.15,1.15,18,0,1,6,1,4,1,0,5,0,0,0,0,0.57,0.49,0,4,1,1,12,2285.50 ,-313.33 ,0.00 ,1,0,59.32
1.98,1.0 ,0.78,1.38,1.15,10,0,0,5,3,2,2,1,3,0,0,0,33,0.57,0.49,0,0,0,0,5,1678.00 ,208.67 ,11.00 ,0,1,54.29
4.62,1.0 ,0.78,1.38,1.38,5,0,0,21,4,1,0,2,2,0,97,75,61,0.57,0.49,5.29,0,0,1,7,1798.00 ,116.33 ,77.67 ,0,1,56.29
6.6,1.0 ,1.3,2.3,2.07,8,1,0,42,1,6,1,5,4,0,3,32,39,0.57,0.49,0.08,0,1,1,25,3246.50 ,17.67 ,24.67 ,0,1,74.38
3.3,0.4 ,0.78,0.23,0.23,6,0,0,13,0,1,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,1193.00 ,-5.00 ,0.00 ,0,0,53.63
3.96,0.4 ,0.78,0.46,0.23,7,0,0,16,0,1,2,0,0,0,0,0,0,0,0.32,0,0,0,0,0,1411.50 ,112.67 ,0.00 ,0,0,52.55
4.62,0.6 ,0.78,1.15,0.92,6,0,0,23,0,2,0,1,2,0,0,0,0,0.32,0.33,0,0,0,0,3,1878.00 ,77.33 ,0.00 ,0,0,60.35
3.96,0.4 ,0.78,1.15,0.23,16,0,0,16,0,1,0,0,0,0,0,0,0,0.32,0.33,0,0,0,0,0,2813.00 ,351.67 ,0.00 ,0,0,60.89
4.62,1.0 ,1.04,0.23,0.23,16,0,0,23,4,2,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,1887.00 ,-139.00 ,0.00 ,0,0,53.31
5.28,1.2 ,1.3,1.61,1.61,46,1,1,30,2,4,5,4,0,0,206,160,0,0,0.29,2.27,5,1,1,4,7895.50 ,853.67 ,122.00 ,1,1,73.18
5.28,0.8 ,1.04,0.92,0.23,11,0,0,27,0,2,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,2271.50 ,219.33 ,0.00 ,0,0,62.37
4.62,0.8 ,1.04,1.38,0.92,6,0,0,20,0,2,0,1,0,0,0,0,0,0,0.29,0,0,0,0,1,1972.50 ,127.67 ,0.00 ,0,0,62.23
5.28,0.6 ,1.04,1.15,0.23,10,0,0,27,0,2,0,0,0,0,0,0,0,0.29,0.27,0,0,0,0,0,2967.00 ,135.33 ,0.00 ,0,0,65.75
3.3,1.8 ,1.56,1.38,1.38,24,0,0,11,5,4,0,2,8,0,145,136,109,0.29,0.27,0.39,8,0,1,11,29376.00 ,1167.33 ,130.00 ,1,1,65.89
3.96,1.2 ,1.3,0.23,0.23,19,0,0,17,6,3,0,0,0,0,14,14,11,0,0.72,0.36,0,0,1,0,3725.50 ,305.67 ,13.00 ,0,1,60.58
4.62,1.8 ,1.04,0.23,0.23,3,0,0,23,6,3,0,0,0,0,0,0,0,0,0.72,0,8,0,0,0,1044.50 ,-59.00 ,0.00 ,1,0,61.2
4.62,1.0 ,1.04,0.92,0.92,33,0,0,22,2,3,0,1,0,0,143,0,0,0,0.72,0,0,0,0,1,5933.00 ,4.33 ,47.67 ,0,1,72.36
4.62,1.8 ,1.3,1.15,0.92,22,0,0,24,4,3,0,1,1,0,141,66,0,0,0.72,2.76,7,0,1,3,5445.00 ,504.67 ,69.00 ,1,1,74.43
6.6,0.8 ,1.3,1.38,0.23,49,0,0,57,0,4,0,0,0,0,0,222,0,0.72,0.76,2.13,0,0,1,0,6109.00 ,38.00 ,74.00 ,0,1,70.75
1.98,0.4 ,0.78,0.69,0.23,5,0,0,4,0,1,0,0,0,0,0,0,0,0.72,0.76,0,0,0,0,0,5138.00 ,83.67 ,0.00 ,0,0,54.72
5.94,0.6 ,1.3,1.15,0.23,10,0,0,34,0,4,1,0,0,0,146,0,0,0.72,0.76,0,0,0,0,0,1287.50 ,50.33 ,48.67 ,0,1,70.37
1.98,1.8 ,1.56,1.15,0.92,13,1,1,6,4,4,2,1,0,0,0,160,174,0,0.03,3.75,7,1,1,1,3673.50 ,311.67 ,111.33 ,1,1,64.33
3.3,0.4 ,1.04,0.23,1.84,13,0,0,10,0,2,0,5,0,0,606,30,0,1.79,1.88,0,0,0,0,10,4669.00 ,274.33 ,212.00 ,0,1,50.53
4.62,1.8 ,2.08,1.61,2.3,31,0,1,21,6,5,4,19,3,0,0,552,549,0,1.88,57.33,8,1,1,22,719.50 ,-2037.00 ,367.00 ,1,1,80.86
3.3,1.4 ,1.82,1.61,0.92,50,0,1,14,4,5,2,0,0,0,0,0,0,0,1.88,0,6,1,1,0,7822.50 ,-278.33 ,0.00 ,1,0,69.72
4.62,0.4 ,0.78,0.92,0.23,4,0,0,22,0,1,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,1955.50 ,50.67 ,0.00 ,0,0,60.36
3.3,1.2 ,1.82,1.38,1.15,28,1,1,12,2,5,2,2,0,0,110,0,0,0,1.88,0,5,1,1,2,5272.50 ,350.67 ,36.67 ,1,1,54.87
2.64,1.0 ,1.04,1.15,0.92,12,1,1,9,4,3,2,1,2,0,0,97,64,0,1.88,2.07,0,1,1,3,4693.00 ,303.00 ,53.67 ,0,1,57.04
