region,num_household_member,labor_income,business_income,property_income,other_income,income_tax_deduction,living_asset,basic_property_amt,debt,general_property,general_property_deduction,fin_property,fin_property_deduction,car,rec_amt_income,target_mul,target_yn
1,1,0,0,0,403180,403180,0,99000000,0,30000000,12096546,6193000,0,0,0,1,1
2,2,0,0,0,1176560,405000,67465200,80000000,53312000,21188003,20736936,837000,0,0,771560,2,1
2,2,7790000,1204166,0,517080,0,0,80000000,45089000,1757182673,0,17958920,0,0,517080,2,1
2,1,0,0,0,60000,60000,19000,80000000,0,0,0,1009000,0,0,0,1,1
3,7,0,0,0,0,0,0,77000000,0,0,0,104000,0,0,0,6,1
3,1,0,0,0,19680,0,0,77000000,0,0,0,14897000,0,0,19680,1,1
3,1,4862226,1500000,0,60000,60000,1900000,77000000,0,114944856,0,145000,0,0,0,1,1
2,1,0,0,0,160553,0,950000,80000000,4159000,0,0,7926000,360000,0,160553,1,1
1,2,0,0,0,409760,0,0,99000000,0,0,0,1954000,0,0,409760,2,1
1,1,5559590,0,0,352050,0,9500000,99000000,0,85300000,0,4122000,0,0,352050,1,1
3,1,115000,0,0,300000,415000,0,77000000,0,0,0,31181000,8400000,0,0,1,1
3,2,6728800,308333,0,480000,645248,0,77000000,1850000,350227548,0,4902000,0,326568,1845480,0,0
3,1,1220946,16667,0,0,0,3230000,77000000,2640000,110951680,0,221000,0,0,0,1,1
3,2,3763000,0,37082,0,0,95152000,77000000,0,17516243,0,4863000,2840000,0,225863,2,1
3,3,0,0,0,350000,350000,0,77000000,16091000,14500000,0,25396000,1590000,0,0,3,1
3,1,0,0,0,0,0,0,77000000,0,0,0,213000,0,0,0,1,1
3,1,3291730,0,0,211780,0,5869100,77000000,0,3411581,0,18694000,6400000,0,211780,1,1
3,1,850000,0,0,0,0,950000,77000000,690000,0,0,1375000,0,0,0,1,1
2,2,1514856,0,0,363180,494457,39472500,80000000,16400000,5930000,3260086,1829000,0,0,1383579,0,0
3,2,2577337,0,0,1093560,901401,74100000,77000000,44401000,0,0,23591000,0,0,2769496,0,0
